Title,Genre(s),Director(s),Rating
BLACKPINK: Light Up the Sky,"Documentary, Music",Caroline Suh,83
Avengers: Endgame,"Adventure, Science Fiction, Action","Joe Russo, Anthony Russo",83
Mommy,Drama,Xavier Dolan,83
Avengers: Infinity War,"Adventure, Action, Science Fiction","Anthony Russo, Joe Russo",83
It's a Wonderful Life,"Drama, Family, Fantasy",Frank Capra,83
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation, Action, Adventure, Fantasy, Thriller",Haruo Sotozaki,83
The Lion King,"Family, Animation, Drama","Roger Allers, Rob Minkoff",83
Klaus,"Animation, Family, Adventure, Comedy, Fantasy",Sergio Pablos,83
I Want to Eat Your Pancreas,"Animation, Drama, Romance",Shinichiro Ushijima,82
Baraka,Documentary,Ron Fricke,82
We All Loved Each Other So Much,"Drama, Comedy",Ettore Scola,82
Green Book,"Drama, Comedy",Peter Farrelly,82
Persona,Drama,Ingmar Bergman,82
Il Sorpasso,"Drama, Comedy",Dino Risi,82
Rascal Does Not Dream of a Dreaming Girl,"Animation, Comedy, Romance, Drama, Fantasy",Souichi Masui,82
The Handmaiden,"Thriller, Drama, Romance",Park Chan-wook,82
Wolf Children,"Animation, Family, Drama, Fantasy, Adventure",Mamoru Hosoda,82
Night and Fog,"History, Documentary, War",Alain Resnais,82
Better Days,Drama,Derek Tsang,82
Hamilton,"History, Drama",Thomas Kail,82
Witness for the Prosecution,"Drama, Mystery, Crime",Billy Wilder,82
The Apartment,"Comedy, Drama, Romance",Billy Wilder,82
Coco,"Family, Animation, Fantasy, Music, Comedy, Adventure",Lee Unkrich,82
Bicycle Thieves,Drama,Vittorio De Sica,82
The Shining,"Horror, Thriller",Stanley Kubrick,82
The Art of Racing in the Rain,"Drama, Romance, Comedy",Simon Curtis,82
Tokyo Story,Drama,Yasujirō Ozu,82
A Clockwork Orange,"Science Fiction, Drama",Stanley Kubrick,82
Inglourious Basterds,"Drama, Thriller, War",Quentin Tarantino,82
Violet Evergarden: Eternity and the Auto Memory Doll,"Drama, Fantasy, Animation",Haruka Fujita,82
The Seventh Seal,"Fantasy, Drama",Ingmar Bergman,82
Saving Private Ryan,"Drama, History, War",Steven Spielberg,82
Zack Snyder's Justice League,"Action, Adventure, Fantasy",Zack Snyder,82
Gladiator,"Action, Drama, Adventure",Ridley Scott,82
The Matrix,"Action, Science Fiction","Lilly Wachowski, Lana Wachowski",82
Star Wars,"Adventure, Action, Science Fiction",George Lucas,82
The Prestige,"Drama, Mystery, Science Fiction",Christopher Nolan,82
Guillermo del Toro's Pinocchio,"Animation, Fantasy, Drama, Music","Guillermo del Toro, Mark Gustafson",82
Along with the Gods: The Last 49 Days,"Fantasy, Action, Thriller, Adventure",Kim Yong-hwa,82
