Title,Genre(s),Director(s),Rating
True Grit,"Drama, Adventure, Western","Joel Coen, Ethan Coen",73
Kirikou and the Sorceress,"Fantasy, Adventure, Animation, Family",Michel Ocelot,73
The Duellists,"Drama, War",Ridley Scott,73
Team Thor,"Comedy, Science Fiction",Taika Waititi,73
Fast X,"Action, Crime, Thriller",Louis Leterrier,73
The Texas Chain Saw Massacre,Horror,Tobe Hooper,73
Star Trek: First Contact,"Science Fiction, Action, Adventure, Thriller",Jonathan Frakes,73
"Lyle, Lyle, Crocodile","Comedy, Family, Music","Josh Gordon, Will Speck",73
#Alive,"Horror, Action, Adventure, Thriller",Cho Il,73
Kiss and Cry,"Romance, Drama, Music, TV Movie",Sean Cisterna,73
Justice League Dark,"Animation, Action, Fantasy",Jay Oliva,73
Harry Potter 20th Anniversary: Return to Hogwarts,Documentary,"Giorgio Testi, Casey Patterson, Eran Creevy, Joe Pearlman",73
Ghost in the Shell 2: Innocence,"Animation, Drama, Science Fiction",Mamoru Oshii,73
Nashville,"Drama, Music",Robert Altman,73
Lights Out,Horror,David F. Sandberg,73
Stalingrad,"Drama, History, War",Joseph Vilsmaier,73
Hair,"Comedy, Drama, Music, Romance, War",Miloš Forman,73
Little Women,"Drama, Romance",Gillian Armstrong,73
The Hundred-Foot Journey,"Drama, Comedy",Lasse Hallström,73
In the House,"Comedy, Drama, Mystery, Thriller",François Ozon,73
Missing,"Drama, Mystery, Thriller",Costa-Gavras,73
Dead Man,"Drama, Fantasy, Western",Jim Jarmusch,73
The City of Lost Children,"Fantasy, Science Fiction, Adventure","Marc Caro, Jean-Pierre Jeunet",73
Two Distant Strangers,Drama,"Travon Free, Martin Desmond Roe",73
Star Wars: The Force Awakens,"Adventure, Action, Science Fiction",J.J. Abrams,73
Source Code,"Thriller, Science Fiction, Mystery",Duncan Jones,73
A Christmas Story,"Comedy, Family",Bob Clark,73
Videodrome,"Horror, Mystery, Science Fiction",David Cronenberg,73
Balto,"Family, Animation, Adventure",Simon Wells,73
Indiana Jones and the Temple of Doom,"Adventure, Action",Steven Spielberg,73
The Man from the Future,"Comedy, Fantasy, Science Fiction, Romance",Cláudio Torres,73
X-Men: First Class,"Action, Science Fiction, Adventure",Matthew Vaughn,73
A Matter of Loaf and Death,"Animation, Comedy, Family",Nick Park,73
13 Assassins,"Adventure, Drama, Action",Takashi Miike,73
War Horse,"War, Drama, Action",Steven Spielberg,73
"Food, Inc.",Documentary,Robert Kenner,73
The Aristocats,"Animation, Comedy, Family, Adventure",Wolfgang Reitherman,73
Battle Royale,"Drama, Thriller, Action",Kinji Fukasaku,73
The Devil's Backbone,"Fantasy, Drama, Horror, Thriller",Guillermo del Toro,73
Bridge to Terabithia,"Adventure, Drama, Family",Gábor Csupó,73
Of Mice and Men,Drama,Gary Sinise,73
Lava,"Animation, Family",James Ford Murphy,73
Sarah's Key,"Drama, War",Gilles Paquet-Brenner,73
Fist of Fury,"Drama, Action, Thriller",Lo Wei,73
Blood Simple,"Crime, Drama, Thriller","Joel Coen, Ethan Coen",73
Blazing Saddles,"Western, Comedy",Mel Brooks,73
They Live,"Science Fiction, Action",John Carpenter,73
The Illusionist,"Fantasy, Drama, Thriller, Romance",Neil Burger,73
Boiling Point,"Drama, Thriller",Philip Barantini,73
American Murder: The Family Next Door,"Documentary, Mystery, Crime",Jenny Popplewell,73
Colonia,"Drama, History",Florian Gallenberger,73
The Conjuring 2,"Horror, Thriller",James Wan,73
The Past,"Drama, Mystery",Asghar Farhadi,73
Manhattan Murder Mystery,"Comedy, Mystery",Woody Allen,73
RoboCop,"Action, Thriller, Science Fiction",Paul Verhoeven,73
Naruto Shippuden the Movie: Blood Prison,"Thriller, Animation, Action, Comedy, Horror, Mystery",Masahiko Murata,73
The Hidden Face,"Thriller, Mystery",Andrés Baiz,73
Rise of the Planet of the Apes,"Thriller, Action, Drama, Science Fiction",Rupert Wyatt,73
Robin Hood,"Animation, Family",Wolfgang Reitherman,73
Meet Joe Black,"Fantasy, Drama, Romance",Martin Brest,73
C'mon C'mon,Drama,Mike Mills,73
Marshall,Drama,Reginald Hudlin,73
Mystery Train,Comedy,Jim Jarmusch,73
Carrie,"Horror, Thriller",Brian De Palma,73
Clueless,"Comedy, Romance",Amy Heckerling,73
Fracture,Thriller,Gregory Hoblit,73
Now Where Did the Seventh Company Get to?,"Comedy, War",Robert Lamoureux,73
Batman: Year One,"Action, Animation, Crime","Lauren Montgomery, Sam Liu",73
Bye Bye Morons,"Comedy, Drama",Albert Dupontel,73
Megan Leavey,"Drama, War",Gabriela Cowperthwaite,73
Evangelion: 3.0 You Can (Not) Redo,"Animation, Science Fiction, Action, Drama",Hideaki Anno,73
One Man Band,"Animation, Comedy, Family, Music","Andrew Jimenez, Mark Andrews",73
Avengers: Age of Ultron,"Action, Adventure, Science Fiction",Joss Whedon,73
Assault on Precinct 13,"Thriller, Action, Crime",John Carpenter,73
A Shot in the Dark,"Comedy, Crime, Mystery",Blake Edwards,73
Lethal Weapon,"Adventure, Action, Comedy, Thriller, Crime",Richard Donner,73
Total Recall,"Action, Adventure, Science Fiction",Paul Verhoeven,73
The Commitments,"Comedy, Drama, Music",Alan Parker,73
The Day of the Beast,"Action, Comedy, Horror, Crime, Fantasy",Álex de la Iglesia,73
House of Flying Daggers,"Adventure, Drama, Action",Zhang Yimou,73
The Fisher King,"Comedy, Drama",Terry Gilliam,73
The Rider,"Drama, Western",Chloé Zhao,73
Where to Invade Next,Documentary,Michael Moore,73
The Jungle Book,"Family, Animation, Adventure",Wolfgang Reitherman,73
The Phantom of the Opera,"Thriller, Drama, Romance",Joel Schumacher,73
The Professional,"Action, Adventure, Thriller",Georges Lautner,73
Dragon Ball Z: Broly – The Legendary Super Saiyan,"Animation, Science Fiction, Action",Shigeyasu Yamauchi,73
The Stranger,"Crime, Drama, Thriller",Orson Welles,73
Airplane!,Comedy,"David Zucker, Jerry Zucker, Jim Abrahams",73
West Side Story,"Crime, Drama, Romance","Jerome Robbins, Robert Wise",73
Swan Song,"Drama, Science Fiction",Benjamin Cleary,73
The 12th Man,"War, Drama",Harald Zwart,73
Frozen II,"Family, Animation, Adventure, Comedy, Fantasy","Jennifer Lee, Chris Buck",73
Argo,"Drama, Thriller",Ben Affleck,73
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,Beeban Kidron,73
Lord of War,"Crime, Drama, Thriller",Andrew Niccol,73
Forbidden Planet,Science Fiction,Fred M. Wilcox,73
(500) Days of Summer,"Comedy, Drama, Romance",Marc Webb,73
Lagaan: Once Upon a Time in India,"Adventure, Romance, Drama",Ashutosh Gowariker,73
Spider-Man,"Fantasy, Action",Sam Raimi,73
Riders of Justice,"Action, Comedy",Anders Thomas Jensen,73
Life Itself,"Drama, Romance",Dan Fogelman,73
13 Hours: The Secret Soldiers of Benghazi,"War, Action, History, Drama",Michael Bay,73
Berserk: The Golden Age Arc I - The Egg of the King,"Action, Adventure, Fantasy, Animation",Toshiyuki Kubooka,73
Tell No One,"Drama, Thriller, Crime, Mystery",Guillaume Canet,73
Man on the Moon,"Comedy, Drama",Miloš Forman,73
Army of Darkness,"Fantasy, Horror, Comedy",Sam Raimi,73
Lady and the Tramp,"Family, Romance, Comedy",Charlie Bean,73
Hereditary,"Horror, Mystery, Thriller",Ari Aster,73
Conspiracy,"History, Drama, War, TV Movie",Frank Pierson,73
My Name Is Nobody,"Comedy, Western",Tonino Valerii,73
The Last Kingdom: Seven Kings Must Die,"Action, Adventure, War",Edward Bazalgette,73
Escape from Pretoria,"Drama, History, Thriller",Francis Annan,73
The Illusionist,"Animation, Drama",Sylvain Chomet,73
Warriors of Future,"Drama, Action, Science Fiction",Ng Yuen-fai,73
Lady Bird,"Drama, Comedy",Greta Gerwig,73
Crazy About Her,"Comedy, Romance",Dani de la Orden,73
Milk,"History, Drama",Gus Van Sant,73
Leaving Las Vegas,"Drama, Romance",Mike Figgis,73
The Salesman,"Drama, Thriller",Asghar Farhadi,73
Red Dog,"Drama, Comedy, Family",Kriv Stenders,73
Zombieland,"Comedy, Horror",Ruben Fleischer,73
The Hedgehog,"Comedy, Drama",Mona Achache,73
Juice,"Crime, Drama, Thriller",Ernest R. Dickerson,73
Hunger,"Drama, History",Steve McQueen,73
Father Stu,Drama,Rosalind Ross,73
Suffragette,"Drama, History",Sarah Gavron,73
Babette's Feast,Drama,Gabriel Axel,73
Resort to Love,"Romance, Comedy",Steven K. Tsuchida,73
A Monster Calls,"Drama, Fantasy",J. A. Bayona,73
Detour,"Drama, Thriller",Edgar G. Ulmer,73
Funny Girl,"Comedy, Drama, Romance",William Wyler,73
Labyrinth,"Adventure, Family, Fantasy",Jim Henson,73
Only Lovers Left Alive,"Drama, Romance",Jim Jarmusch,73
Like Water for Chocolate,"Drama, Romance",Alfonso Arau,73
Donkey Skin,"Music, Fantasy, Drama, Comedy, Romance",Jacques Demy,73
Fall,Thriller,Scott Mann,73
In the Heights,"Drama, Romance",Jon M. Chu,73
Race,"Drama, History",Stephen Hopkins,73
Dog Pound,Drama,Kim Chapiron,73
Stranger Than Fiction,"Comedy, Drama, Fantasy, Romance",Marc Forster,73
Notting Hill,"Romance, Comedy",Roger Michell,73
Ophelia,"Drama, Romance, History",Claire McCarthy,73
Queen of Katwe,Drama,Mira Nair,73
Scream VI,"Horror, Mystery, Thriller","Tyler Gillett, Matt Bettinelli-Olpin",73
Ida,Drama,Paweł Pawlikowski,73
Quiz Show,"History, Drama, Mystery",Robert Redford,73
Bagdad Cafe,"Comedy, Drama",Percy Adlon,73
Moneyball,Drama,Bennett Miller,73
Green Street Hooligans,"Crime, Drama",Lexi Alexander,73
Love Me If You Dare,"Drama, Comedy, Romance",Yann Samuell,73
Shoot the Piano Player,"Drama, Thriller, Crime",François Truffaut,73
Cape Fear,"Crime, Thriller, Drama",Martin Scorsese,73
Rocky II,Drama,Sylvester Stallone,73
The Many Adventures of Winnie the Pooh,"Animation, Family","John Lounsbery, Wolfgang Reitherman",73
Brother Bear,"Adventure, Animation, Family","Robert Walker, Aaron Blaise",73
Fast Five,"Action, Thriller, Crime",Justin Lin,73
The Boat That Rocked,"Drama, Comedy",Richard Curtis,73
"OSS 117: Cairo, Nest of Spies","Crime, Action, Adventure, Comedy",Michel Hazanavicius,73
The Boondock Saints,"Action, Thriller, Crime",Troy Duffy,73
"The Adventures of Priscilla, Queen of the Desert","Drama, Comedy",Stephan Elliott,73
"Crazy, Stupid, Love.","Comedy, Drama, Romance","Glenn Ficarra, John Requa",73
Naruto Shippuden the Movie,"Animation, Action, Fantasy",Hajime Kamegaki,73
Coherence,"Thriller, Science Fiction",James Ward Byrkit,73
Shutter,"Horror, Mystery, Thriller","Banjong Pisanthanakun, Parkpoom Wongpoom",73
The Hurt Locker,"Drama, Thriller, War",Kathryn Bigelow,73
The Damned United,"Drama, History",Tom Hooper,73
Zatoichi,"Adventure, Drama, Action",Takeshi Kitano,73
"Everything, Everything","Drama, Romance",Stella Meghie,73
Fear Street: 1978,"Mystery, Horror",Leigh Janiak,73
Tinker Bell and the Legend of the NeverBeast,"Adventure, Animation, Family",Steve Loter,73
The Painted Veil,"Romance, Drama",John Curran,73
The Road to El Dorado,"Family, Adventure, Animation, Comedy, Fantasy","Bibo Bergeron, Don Paul",72
Safe Haven,"Romance, Thriller",Lasse Hallström,72
Victor/Victoria,"Comedy, Music, Romance",Blake Edwards,72
Dolores Claiborne,"Crime, Drama, Mystery",Taylor Hackford,72
The Sword in the Stone,"Animation, Family",Wolfgang Reitherman,72
The Ladykillers,"Comedy, Crime",Alexander Mackendrick,72
Pleasantville,"Fantasy, Comedy, Drama",Gary Ross,72
Stardust,"Adventure, Fantasy, Romance, Family",Matthew Vaughn,72
Die Hard: With a Vengeance,"Action, Thriller",John McTiernan,72
Spider-Man 2,"Action, Adventure, Fantasy",Sam Raimi,72
Wadjda,Drama,Haifaa al-Mansour,72
Old Henry,"Action, Western, Thriller",Potsy Ponciroli,72
Over the Moon,"Animation, Adventure, Family, Fantasy",Glen Keane,72
The Shape of Water,"Drama, Fantasy, Romance",Guillermo del Toro,72
Marvel One-Shot: Agent Carter,"Action, Adventure, Science Fiction, Fantasy",Louis D'Esposito,72
Frozen,"Animation, Family, Adventure, Fantasy","Jennifer Lee, Chris Buck",72
Smoke,"Comedy, Drama",Wayne Wang,72
Man Bites Dog,"Comedy, Crime","Benoît Poelvoorde, André Bonzel, Rémy Belvaux",72
Begin Again,"Comedy, Music, Romance, Drama",John Carney,72
Biutiful,Drama,Alejandro González Iñárritu,72
The Last Song,"Drama, Family, Romance",Julie Anne Robinson,72
Baaria,"Drama, Comedy, Romance",Giuseppe Tornatore,72
"South Park: Bigger, Longer & Uncut","Animation, Comedy",Trey Parker,72
The Gods Must Be Crazy,"Action, Comedy",Jamie Uys,72
November,"Thriller, Crime, Drama",Cédric Jimenez,72
My Little Pony: The Movie,"Family, Animation, Music, Adventure, Fantasy",Jayson Thiessen,72
Headhunters,"Thriller, Crime, Action",Morten Tyldum,72
The Sunset Limited,"Drama, TV Movie",Tommy Lee Jones,72
"Don't Worry, I'm Fine",Drama,Philippe Lioret,72
Ip Man 4: The Finale,"Action, Drama, History",Wilson Yip,72
Ferdinand,"Animation, Family, Adventure, Comedy",Carlos Saldanha,72
Blade Runner: Black Out 2022,"Action, Animation, Science Fiction",Shinichiro Watanabe,72
Collateral Beauty,"Drama, Romance",David Frankel,72
Tyrannosaur,"Drama, Romance",Paddy Considine,72
The Equalizer,"Thriller, Action, Crime",Antoine Fuqua,72
How Green Was My Valley,"Drama, Family",John Ford,72
The Prince of Egypt,"Adventure, Animation, Drama, Family","Simon Wells, Steve Hickner, Brenda Chapman",72
Bicentennial Man,"Science Fiction, Comedy, Drama",Chris Columbus,72
Monster,"Crime, Drama",Patty Jenkins,72
The Outsiders,"Crime, Drama",Francis Ford Coppola,72
Utøya: July 22,"History, Drama",Erik Poppe,72
Every Day,"Fantasy, Romance",Michael Sucsy,72
Standing Tall,Drama,Emmanuelle Bercot,72
Furious 7,"Action, Thriller, Crime",James Wan,72
CJ7,"Comedy, Drama, Family, Fantasy, Science Fiction",Stephen Chow,72
Irreversible,"Drama, Thriller, Crime",Gaspar Noé,72
Everything Is Illuminated,"Comedy, Drama",Liev Schreiber,72
Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action",Gore Verbinski,72
Nomadland,Drama,Chloé Zhao,72
The Kissing Booth,"Romance, Comedy",Vince Marcello,72
Official Secrets,"Thriller, History, Drama",Gavin Hood,72
It,"Horror, Fantasy",Andy Muschietti,72
Wonder Woman,"Action, Adventure, Fantasy",Patty Jenkins,72
Henry V,"War, Drama, History",Kenneth Branagh,72
Queen Margot,"Drama, History, Romance",Patrice Chéreau,72
Jumanji,"Adventure, Fantasy, Family",Joe Johnston,72
The Last Metro,"Drama, Romance, War",François Truffaut,72
"Planes, Trains and Automobiles",Comedy,John Hughes,72
Shrek 2,"Animation, Family, Comedy, Fantasy, Adventure","Andrew Adamson, Conrad Vernon, Kelly Asbury",72
Bones and All,"Drama, Horror, Romance",Luca Guadagnino,72
Creed III,"Drama, Action",Michael B. Jordan,72
It's Only the End of the World,Drama,Xavier Dolan,72
Jane Eyre,"Drama, Romance",Cary Joji Fukunaga,72
Barbie and the Three Musketeers,"Animation, Family",William Lau,72
Clifford the Big Red Dog,"Family, Adventure, Comedy, Fantasy",Walt Becker,72
Black Panther: Wakanda Forever,"Action, Adventure, Science Fiction",Ryan Coogler,72
The Vow,"Drama, Romance",Michael Sucsy,72
The Concert,"Drama, Comedy",Radu Mihăileanu,72
The Greatest Game Ever Played,Drama,Bill Paxton,72
The Orphanage,"Horror, Drama, Thriller",J. A. Bayona,72
Dangerous Liaisons,"Drama, Romance",Stephen Frears,72
Barbie in A Mermaid Tale,"Animation, Family, Fantasy",Adam Wood,72
Marathon Man,Thriller,John Schlesinger,72
The Guardians of the Galaxy Holiday Special,"Comedy, Science Fiction, Adventure",James Gunn,72
The Menu,"Horror, Thriller, Comedy",Mark Mylod,72
Last Christmas,"Comedy, Romance",Paul Feig,72
Professor Marston and the Wonder Women,"Drama, Romance",Angela Robinson,72
The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",David Zucker,72
McCabe & Mrs. Miller,"Western, Drama",Robert Altman,72
Short Cuts,"Comedy, Drama",Robert Altman,72
Crash,Drama,Paul Haggis,72
Maria Full of Grace,"Drama, Thriller, Crime",Joshua Marston,72
Kung Fu Panda,"Action, Adventure, Animation, Family, Comedy","Mark Osborne, John Stevenson",72
The Devil All the Time,"Crime, Drama, Thriller",Antonio Campos,72
A Cinderella Story: If the Shoe Fits,"Comedy, Family, Fantasy, Music",Michelle Johnston,72
The Aviator,Drama,Martin Scorsese,72
On Body and Soul,"Drama, Romance, Fantasy",Ildikó Enyedi,72
Violent Cop,"Crime, Thriller, Action",Takeshi Kitano,72
A Bridge Too Far,"Drama, History, War",Richard Attenborough,72
Picnic at Hanging Rock,"Drama, Mystery",Peter Weir,72
In the Mouth of Madness,"Drama, Horror, Mystery, Thriller",John Carpenter,72
The Diary of Anne Frank,"Drama, History",George Stevens,72
Bridge of Spies,"Thriller, Drama",Steven Spielberg,72
Labyrinth of Lies,"Drama, History",Giulio Ricciarelli,72
Murder by Death,"Comedy, Crime, Mystery, Thriller",Robert Moore,72
Driving Miss Daisy,Drama,Bruce Beresford,72
To the Bone,Drama,Marti Noxon,72
Dragon Ball Z: Wrath of the Dragon,"Animation, Action, Science Fiction",Mitsuo Hashimoto,72
Despicable Me,"Family, Animation, Comedy, Crime","Pierre Coffin, Chris Renaud",72
Seven Brides for Seven Brothers,"Comedy, Drama, Western",Stanley Donen,72
Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy",Terry Gilliam,72
5 to 7,"Comedy, Romance",Victor Levin,72
Skyfall,"Action, Adventure, Thriller",Sam Mendes,72
Wonder Woman,"Action, Adventure, Animation, Fantasy, Science Fiction",Lauren Montgomery,72
And Now for Something Completely Different,Comedy,Ian MacNaughton,72
Superbad,Comedy,Greg Mottola,72
The Young Victoria,"Drama, History, Romance",Jean-Marc Vallée,72
Peter Pan,"Animation, Family, Adventure, Fantasy","Clyde Geronimi, Hamilton Luske, Wilfred Jackson",72
2046,"Drama, Science Fiction, Romance",Wong Kar-wai,72
Devotion,"War, Drama, Action",J.D. Dillard,72
Children Who Chase Lost Voices,"Animation, Adventure, Drama, Fantasy, Romance",Makoto Shinkai,72
Infernal Affairs II,"Action, Thriller, Crime","Alan Mak, Andrew Lau",72
North Country,Drama,Niki Caro,72
National Lampoon's Christmas Vacation,Comedy,Jeremiah S. Chechik,72
Superman: Red Son,"Science Fiction, Animation, Action",Sam Liu,72
Clue,"Comedy, Thriller, Crime, Mystery",Jonathan Lynn,72
The Dreamers,"Drama, Romance",Bernardo Bertolucci,72
The Wing or the Thigh?,Comedy,Claude Zidi,72
Girl,Drama,Lukas Dhont,72
Woman at War,"Drama, Thriller, Comedy",Benedikt Erlingsson,72
Betty Blue,"Drama, Romance",Jean-Jacques Beineix,72
Frequency,"Science Fiction, Thriller",Gregory Hoblit,72
Set It Off,"Crime, Drama, Thriller",F. Gary Gray,72
Good Time,"Thriller, Crime","Josh Safdie, Benny Safdie",72
Black Sabbath,Horror,Mario Bava,72
Arizona Dream,"Fantasy, Comedy, Drama, Romance",Emir Kusturica,72
Naruto the Movie: Ninja Clash in the Land of Snow,"Comedy, Action, Animation, Adventure",Tensai Okamura,72
The Last Temptation of Christ,Drama,Martin Scorsese,72
Django,"Action, Western",Sergio Corbucci,72
TÁR,"Drama, Music",Todd Field,72
Batman: Hush,"Action, Animation, Crime, Mystery",Justin Copeland,72
Fahrenheit 11/9,Documentary,Michael Moore,72
Loro 2,Drama,Paolo Sorrentino,72
The Purity of Vengeance,"Crime, Thriller, Mystery, Drama",Christoffer Boe,72
Alita: Battle Angel,"Action, Science Fiction, Adventure",Robert Rodriguez,72
Steel Magnolias,"Comedy, Drama, Romance",Herbert Ross,72
Chinese Take-Away,Comedy,Sebastián Borensztein,72
Vanishing Point,"Action, Drama",Richard C. Sarafian,72
Batman,"Fantasy, Action, Crime",Tim Burton,72
Project A,"Action, Comedy, Adventure",Jackie Chan,72
The Player,"Comedy, Crime, Drama, Mystery",Robert Altman,72
The Pope's Exorcist,"Horror, Thriller",Julius Avery,72
Batman: Bad Blood,"Science Fiction, Action, Animation",Jay Oliva,72
The Lego Batman Movie,"Animation, Action, Comedy, Family",Chris McKay,72
The Unknown Woman,Thriller,Giuseppe Tornatore,72
Ralph Breaks the Internet,"Family, Animation, Comedy, Adventure","Phil Johnston, Rich Moore",72
A Walk in the Clouds,"Drama, Romance",Alfonso Arau,72
After We Collided,"Romance, Drama",Roger Kumble,72
The Goldfinch,Drama,John Crowley,72
As the Gods Will,"Thriller, Horror, Comedy",Takashi Miike,72
La Bamba,"Drama, Music",Luis Valdez,72
Collateral,"Drama, Crime, Thriller",Michael Mann,72
Nappily Ever After,"Comedy, Romance",Haifaa al-Mansour,72
One Piece Film: GOLD,"Action, Animation, Adventure, Comedy",Hiroaki Miyamoto,72
American Splendor,"Comedy, Drama","Robert Pulcini, Shari Springer Berman",72
Ghost,"Fantasy, Drama, Thriller, Mystery, Romance",Jerry Zucker,72
Dracula,"Horror, Drama, Fantasy",Tod Browning,72
Downton Abbey: A New Era,"Drama, Romance",Simon Curtis,72
Never Rarely Sometimes Always,Drama,Eliza Hittman,72
Mirai,"Animation, Family, Fantasy, Adventure, Drama",Mamoru Hosoda,72
Marley & Me,"Comedy, Family",David Frankel,72
Jack and the Cuckoo-Clock Heart,"Animation, Romance, Adventure, Drama, Fantasy","Mathias Malzieu, Stéphane Berla",72
Broadway Danny Rose,Comedy,Woody Allen,72
Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy",John Carpenter,72
A Fish Called Wanda,"Comedy, Crime",Charles Crichton,72
Shiva Baby,"Comedy, Drama",Emma Seligman,72
Inside Llewyn Davis,"Drama, Music","Ethan Coen, Joel Coen",72
Naruto Shippuden the Movie: The Will of Fire,"Action, Adventure, Comedy, Drama, Fantasy, Animation",Masahiko Murata,72
Barbie as the Island Princess,"Animation, Family",Greg Richardson,72
Tootsie,"Comedy, Romance",Sydney Pollack,72
Cleveland Abduction,"Drama, Crime, TV Movie",Alex Kalymnios,72
Sherlock Holmes,"Action, Adventure, Crime, Mystery",Guy Ritchie,72
Eighth Grade,"Comedy, Drama",Bo Burnham,72
Marrowbone,"Thriller, Horror, Drama, Mystery",Sergio G. Sánchez,72
The Intern,Comedy,Nancy Meyers,72
I Am Legend,"Drama, Science Fiction, Thriller",Francis Lawrence,72
28 Days Later,"Horror, Thriller, Science Fiction",Danny Boyle,72
Superman: Man of Tomorrow,"Animation, Action, Science Fiction",Chris Palmer,72
I Am Dragon,"Fantasy, Romance",Indar Dzhendubaev,72
The Town,"Crime, Drama, Thriller",Ben Affleck,72
Invasion of the Body Snatchers,"Horror, Science Fiction",Philip Kaufman,72
Brigsby Bear,"Comedy, Drama",Dave McCary,72
The Bird with the Crystal Plumage,"Horror, Mystery, Thriller",Dario Argento,72
The Great Debaters,Drama,Denzel Washington,72
Sweeney Todd: The Demon Barber of Fleet Street,"Drama, Horror",Tim Burton,72
3:10 to Yuma,Western,James Mangold,72
Tenet,"Action, Thriller, Science Fiction",Christopher Nolan,72
Cartel Land,"Drama, Documentary",Matthew Heineman,72
Ovosodo,"Comedy, Drama",Paolo Virzì,72
Felon,"Action, Crime, Drama, Mystery",Ric Roman Waugh,72
Fear Street: 1666,"Mystery, Horror",Leigh Janiak,72
Melancholia,"Drama, Science Fiction",Lars von Trier,72
Midnight Run,"Adventure, Comedy, Crime, Action, Thriller",Martin Brest,72
"Lust, Caution","Action, Drama, Romance, Thriller",Ang Lee,72
Les Misérables,"Crime, Drama, History, Romance",Bille August,72
Partysaurus Rex,"Family, Animation, Comedy, Fantasy",Mark A. Walsh,72
Aloha Scooby-Doo!,"Mystery, Family, Animation, Adventure, Comedy",Tim Maltby,72
Romanzo Criminale,"Crime, Drama",Michele Placido,72
Vera Drake,Drama,Mike Leigh,72
Thank You for Smoking,"Comedy, Drama",Jason Reitman,72
Trading Places,Comedy,John Landis,72
Little Boy,"Comedy, Drama, War",Alejandro Monteverde,72
Toy Story of Terror!,"Adventure, Animation, Comedy, Family",Angus MacLane,72
Village of the Damned,"Horror, Science Fiction",Wolf Rilla,72
P.S. I Love You,"Drama, Romance",Richard LaGravenese,72
Batman vs Teenage Mutant Ninja Turtles,"Animation, Action, Family",Jake Castorena,72
The Hunger Games,"Science Fiction, Adventure, Fantasy",Gary Ross,72
Doubt,Drama,John Patrick Shanley,72
The Princess and the Frog,"Romance, Family, Animation","Ron Clements, John Musker",72
Reality,Comedy,Quentin Dupieux,72
Compagni di scuola,Comedy,Carlo Verdone,72
Burlesque,"Drama, Romance",Steve Antin,72
The NeverEnding Story,"Adventure, Fantasy, Family, Drama",Wolfgang Petersen,72
Naruto Shippuden the Movie: Bonds,"Fantasy, Animation, Action",Hajime Kamegaki,72
Little Manhattan,"Comedy, Romance",Mark Levin,72
Ballerina,"Animation, Adventure, Comedy, Family","Eric Summer, Éric Warin",72
Batman vs. Robin,"Science Fiction, Action, Adventure, Animation",Jay Oliva,72
Alice in Wonderland,"Animation, Family, Fantasy, Adventure","Clyde Geronimi, Hamilton Luske, Wilfred Jackson",72
Open Range,"Western, Action, Drama, Adventure, Romance",Kevin Costner,72
Peter Rabbit 2: The Runaway,"Family, Comedy, Adventure, Animation, Fantasy",Will Gluck,72
My King,"Drama, Romance",Maïwenn,72
Star Trek IV: The Voyage Home,"Science Fiction, Adventure",Leonard Nimoy,72
The Map of Tiny Perfect Things,"Fantasy, Romance",Ian Samuels,72
Bedevilled,"Thriller, Crime, Drama, Horror",Jang Cheol-soo,72
Invictus,"Drama, History",Clint Eastwood,72
The Healer,"Family, Drama, Comedy",Paco Arango,72
The Choice,"Drama, Romance",Ross Katz,72
The Lincoln Lawyer,"Crime, Drama, Thriller",Brad Furman,72
Pat Garrett & Billy the Kid,Western,Sam Peckinpah,72
Peter Pan,"Adventure, Fantasy, Family",P.J. Hogan,72
Kiss Kiss Bang Bang,"Comedy, Crime, Mystery, Thriller",Shane Black,72
K-PAX,"Science Fiction, Drama, Mystery",Iain Softley,72
Welcome to the Dollhouse,"Comedy, Drama",Todd Solondz,72
Bound,"Drama, Thriller","Lana Wachowski, Lilly Wachowski",72
No,"Drama, History",Pablo Larraín,72
Limitless,"Thriller, Mystery, Science Fiction",Neil Burger,72
Once Upon a Time in China,"Action, Drama",Tsui Hark,72
Mummies,"Animation, Comedy, Family, Adventure, Fantasy",Juan Jesús García Galocha,72
What Dreams May Come,"Drama, Fantasy, Romance",Vincent Ward,72
Pusher 3,"Action, Thriller, Crime",Nicolas Winding Refn,72
Wall Street,"Crime, Drama",Oliver Stone,72
Beverly Hills Cop,"Action, Comedy, Crime",Martin Brest,72
Triangle of Sadness,"Comedy, Drama",Ruben Östlund,72
Carnage,"Comedy, Drama",Roman Polanski,72
Eddie the Eagle,"Comedy, Drama, History, Adventure",Dexter Fletcher,72
Belle,Drama,Amma Asante,72
Men in Black,"Action, Adventure, Comedy, Science Fiction",Barry Sonnenfeld,72
The Old Guard,"Action, Fantasy",Gina Prince-Bythewood,72
Superman/Batman: Apocalypse,"Science Fiction, Action, Adventure, Animation, Family",Lauren Montgomery,72
Cadillac Records,"Drama, History, Music",Darnell Martin,72
Mean Girls,Comedy,Mark Waters,72
Mrs. Doubtfire,"Comedy, Drama, Family",Chris Columbus,72
The Man Who Knew Infinity,Drama,Matt Brown,72
Mission: Impossible - Rogue Nation,"Action, Adventure",Christopher McQuarrie,72
Identity,"Mystery, Thriller",James Mangold,72
